term,freq
raining,0.0012475309283709326
yellow,0.00041584364279031083
four,0.00041584364279031083
malarky,0.00010396091069757771
hanging,0.0008316872855806217
dehydrated,0.00020792182139515541
electricity,0.00041584364279031083
scold,0.00041584364279031083
lord,0.00010396091069757771
callin,0.0006237654641854663
bringing,0.0007277263748830439
disturb,0.0018712963925563988
andre,0.00020792182139515541
wednesday,0.0016633745711612433
oooh,0.00041584364279031083
100p,0.00010396091069757771
specially,0.00010396091069757771
nigh,0.00020792182139515541
tired,0.0025990227674394426
snuggles,0.00020792182139515541
second,0.0035346709637176423
8lb,0.00020792182139515541
txtno,0.00010396091069757771
scraped,0.00020792182139515541
scallies,0.00010396091069757771
errors,0.00020792182139515541
cooking,0.0006237654641854663
fingers,0.0014554527497660878
maraikara,0.00020792182139515541
no1,0.00020792182139515541
hero,0.00020792182139515541
specialise,0.00020792182139515541
china,0.0006237654641854663
dogwood,0.00020792182139515541
dorm,0.00041584364279031083
08718711108,0.00010396091069757771
strewn,0.00020792182139515541
kidz,0.0006237654641854663
09058091870,0.00010396091069757771
spotty,0.00020792182139515541
golden,0.00020792182139515541
owed,0.00020792182139515541
replace,0.00031188273209273315
brought,0.0006237654641854663
sterm,0.00020792182139515541
000pes,0.00020792182139515541
txt,0.008108951034411062
univ,0.00020792182139515541
cheating,0.00031188273209273315
spoke,0.0010396091069757771
careabout,0.00020792182139515541
browse,0.00010396091069757771
dnt,0.0020792182139515543
music,0.0008316872855806217
passport,0.00020792182139515541
strike,0.0005198045534878886
paperwork,0.00041584364279031083
holy,0.00031188273209273315
relax,0.0011435700176733548
successful,0.0005198045534878886
brings,0.0009356481962781994
premarica,0.00020792182139515541
hols,0.00041584364279031083
yahoo,0.0013514918390685102
hurt,0.0037425927851127976
glass,0.00020792182139515541
47per,0.00020792182139515541
hole,0.00020792182139515541
hold,0.0029109054995321757
up4,0.00041584364279031083
tirupur,0.0006237654641854663
wana,0.0022871400353467095
pints,0.00020792182139515541
smth,0.0031188273209273314
want,0.033891256887410334
organizer,0.00020792182139515541
preferably,0.0007277263748830439
complaining,0.00031188273209273315
hoo,0.00020792182139515541
hol,0.00020792182139515541
hot,0.002183179124649132
hor,0.00041584364279031083
hos,0.00020792182139515541
hop,0.0010396091069757771
significance,0.00020792182139515541
1172,0.00010396091069757771
beauty,0.00041584364279031083
yun,0.0010396091069757771
wan2,0.00010396091069757771
plyr,0.00010396091069757771
swtheart,0.00041584364279031083
lololo,0.00020792182139515541
bsnl,0.00020792182139515541
types,0.00010396091069757771
ibored,0.00020792182139515541
aroundn,0.00020792182139515541
wins,0.0006237654641854663
yunny,0.00041584364279031083
alian,0.00020792182139515541
age16,0.00010396091069757771
fetching,0.00020792182139515541
keeps,0.00041584364279031083
souveniers,0.00020792182139515541
wind,0.00041584364279031083
wine,0.002183179124649132
wc1n,0.00010396091069757771
vary,0.00020792182139515541
murali,0.00020792182139515541
87575,0.00010396091069757771
welcomes,0.00031188273209273315
lovingly,0.00031188273209273315
fit,0.0005198045534878886
screaming,0.0010396091069757771
fix,0.0010396091069757771
."...,0.00010396091069757771
4eva,0.00041584364279031083
matured,0.0005198045534878886
wales,0.0005198045534878886
hidden,0.00020792182139515541
easier,0.0008316872855806217
duvet,0.00020792182139515541
mtnl,0.00020792182139515541
effects,0.00041584364279031083
schools,0.00041584364279031083
go2sri,0.00020792182139515541
silver,0.00041584364279031083
rumour,0.00031188273209273315
vivekanand,0.00020792182139515541
dload,0.00031188273209273315
addicted,0.00031188273209273315
burial,0.00020792182139515541
financial,0.00020792182139515541
fgkslpopw,0.00010396091069757771
series,0.0008316872855806217
allah,0.0010396091069757771
dodda,0.00020792182139515541
bowls,0.00020792182139515541
passwords,0.00031188273209273315
2day,0.0011435700176733548
ring,0.0035346709637176423
forwarding,0.00020792182139515541
syd,0.00020792182139515541
sms,0.00499012371348373
dsn,0.00020792182139515541
neft,0.00031188273209273315
noice,0.00020792182139515541
ofcourse,0.00020792182139515541
nice,0.011123817444640815
toking,0.00020792182139515541
checked,0.0011435700176733548
ate,0.0012475309283709326
shelves,0.00020792182139515541
atm,0.0009356481962781994
ups,0.00020792182139515541
shipped,0.00041584364279031083
clothes,0.00041584364279031083
meet,0.015178292961846345
veggie,0.00020792182139515541
kfc,0.00020792182139515541
wasn,0.0020792182139515543
hear,0.005821810999064351
force,0.0005198045534878886
basketball,0.00020792182139515541
service,0.004366358249298264
engagement,0.00020792182139515541
xin,0.00041584364279031083
wedlunch,0.00020792182139515541
needed,0.0008316872855806217
listed,0.00020792182139515541
loosu,0.00020792182139515541
hiya,0.0018712963925563988
listen,0.0023911009460442873
wisdom,0.0005198045534878886
termsapply,0.00010396091069757771
trek,0.00020792182139515541
peril,0.00020792182139515541
showed,0.00020792182139515541
saeed,0.00020792182139515541
tree,0.0008316872855806217
crave,0.0022871400353467095
shower,0.0022871400353467095
percentages,0.00020792182139515541
bridgwater,0.00020792182139515541
feeling,0.004262397338600686
boston,0.0006237654641854663
selflessness,0.00020792182139515541
alive,0.0006237654641854663
affairs,0.0006237654641854663
escalator,0.00020792182139515541
person,0.008108951034411062
responsible,0.00010396091069757771
witot,0.00020792182139515541
andros,0.00041584364279031083
okie,0.0030148664102297535
causing,0.00041584364279031083
doors,0.0006237654641854663
hum,0.00020792182139515541
shall,0.006237654641854663
doin,0.002495061856741865
victoria,0.00020792182139515541
laxinorficated,0.00020792182139515541
mouth,0.00041584364279031083
daywith,0.00020792182139515541
letter,0.0008316872855806217
thriller,0.00020792182139515541
cops,0.00010396091069757771
camp,0.00020792182139515541
everythin,0.00020792182139515541
41685,0.00010396091069757771
tech,0.00041584364279031083
neekunna,0.00020792182139515541
scream,0.0011435700176733548
came,0.005198045534878885
saying,0.0038465536958103754
bomb,0.00020792182139515541
prin,0.00020792182139515541
insects,0.00020792182139515541
advisors,0.00010396091069757771
teresa,0.00020792182139515541
prix,0.00020792182139515541
gauge,0.00020792182139515541
buzzzz,0.00010396091069757771
participate,0.00020792182139515541
lessons,0.0018712963925563988
busy,0.003950514606507953
menu,0.0007277263748830439
shitin,0.00010396091069757771
cougar,0.00020792182139515541
touched,0.0005198045534878886
rich,0.0006237654641854663
rice,0.00041584364279031083
pocked,0.00020792182139515541
plate,0.00020792182139515541
platt,0.00020792182139515541
uworld,0.00020792182139515541
tips,0.00010396091069757771
lmao,0.0014554527497660878
bus8,0.00020792182139515541
kittum,0.00020792182139515541
asssssholeeee,0.00010396091069757771
piggy,0.00020792182139515541
respond,0.0009356481962781994
fair,0.0006237654641854663
med,0.00031188273209273315
rupaul,0.00020792182139515541
goodnight,0.0017673354818588212
result,0.0008316872855806217
bleh,0.00020792182139515541
best,0.007797068302318328
lotz,0.00020792182139515541
ctargg,0.00020792182139515541
lots,0.0031188273209273314
lotr,0.00031188273209273315
wikipedia,0.00020792182139515541
stamps,0.0006237654641854663
score,0.0006237654641854663
glasgow,0.00020792182139515541
men,0.0016633745711612433
nationwide,0.00020792182139515541
nature,0.0009356481962781994
rolled,0.00020792182139515541
rajini,0.00020792182139515541
icicibank,0.00031188273209273315
;#&,0.020480299407422808
wtf,0.0008316872855806217
wth,0.00020792182139515541
roller,0.00020792182139515541
pity,0.00020792182139515541
accident,0.00020792182139515541
country,0.0006237654641854663
macedonia,0.00010396091069757771
planned,0.0014554527497660878
lookin,0.0010396091069757771
tomarrow,0.0006237654641854663
machan,0.0008316872855806217
login,0.00041584364279031083
argue,0.0006237654641854663
asked,0.004782201892088575
itried2tell,0.00020792182139515541
2nd,0.0017673354818588212
happenin,0.00020792182139515541
darlin,0.0031188273209273314
diff,0.0006237654641854663
255,0.00020792182139515541
9ja,0.0006237654641854663
source,0.00041584364279031083
fri,0.0023911009460442873
fro,0.00020792182139515541
frm,0.0023911009460442873
much,0.022143673978584053
wuld,0.00041584364279031083
stadium,0.00010396091069757771
parents,0.0027029836781370204
obese,0.00020792182139515541
life,0.01268323110510448
dave,0.00020792182139515541
lift,0.0012475309283709326
chile,0.00020792182139515541
child,0.0007277263748830439
25p,0.00031188273209273315
spin,0.00020792182139515541
bridal,0.00010396091069757771
chill,0.0006237654641854663
unsold,0.0010396091069757771
3680,0.00020792182139515541
09058091854,0.00010396091069757771
2wks,0.00031188273209273315
selfindependence,0.00020792182139515541
meetin,0.0008316872855806217
elaborate,0.00020792182139515541
42810,0.00010396091069757771
congratulation,0.00020792182139515541
played,0.00041584364279031083
078,0.00010396091069757771
player,0.0007277263748830439
feed,0.00020792182139515541
things,0.009356481962781995
honi,0.00020792182139515541
sometext,0.00020792182139515541
dha,0.00020792182139515541
hont,0.00020792182139515541
split,0.00020792182139515541
babies,0.00041584364279031083
08718727870150ppm,0.00010396091069757771
tops,0.00020792182139515541
academic,0.00020792182139515541
dontplease,0.00020792182139515541
nachos,0.00020792182139515541
xxxxxxxxxxxxxx,0.00020792182139515541
opinions,0.00031188273209273315
08701752560,0.00010396091069757771
dosomething,0.00020792182139515541
24m,0.00010396091069757771
sleepy,0.00041584364279031083
nydc,0.00041584364279031083
87121,0.00010396091069757771
waht,0.00031188273209273315
rushing,0.00020792182139515541
previous,0.0005198045534878886
hai,0.0010396091069757771
enters,0.00020792182139515541
ham,0.0005198045534878886
duffer,0.00020792182139515541
1lemon,0.00020792182139515541
haf,0.004782201892088575
obedient,0.00020792182139515541
easy,0.0034307100530200645
east,0.00041584364279031083
hat,0.00020792182139515541
hav,0.004574280070693419
fromm,0.00010396091069757771
possible,0.0016633745711612433
twinks,0.00010396091069757771
possibly,0.00020792182139515541
birth,0.0006237654641854663
imposed,0.00020792182139515541
shadow,0.00020792182139515541
unique,0.0005198045534878886
remind,0.0010396091069757771
steps,0.00020792182139515541
9280114,0.00010396091069757771
ola,0.00041584364279031083
right,0.0163218629795197
old,0.0038465536958103754
crowd,0.00020792182139515541
people,0.00862875558789895
weds,0.00020792182139515541
oli,0.00020792182139515541
fuuuuck,0.00020792182139515541
creep,0.00041584364279031083
enemies,0.00020792182139515541
bottom,0.0006237654641854663
fox,0.00020792182139515541
creative,0.00020792182139515541
treadmill,0.00020792182139515541
pattern,0.00041584364279031083
muhommad,0.00020792182139515541
wocay,0.00020792182139515541
aries,0.00010396091069757771
suitemates,0.00020792182139515541
dental,0.00020792182139515541
colleg,0.00020792182139515541
starring,0.00020792182139515541
losing,0.0007277263748830439
memorable,0.00020792182139515541
quiteamuzing,0.00020792182139515541
dollars,0.0010396091069757771
ec2a,0.00031188273209273315
solihull,0.00020792182139515541
suggestions,0.00020792182139515541
slightly,0.00041584364279031083
raised,0.00020792182139515541
statements,0.00020792182139515541
honeymoon,0.00020792182139515541
soo,0.00041584364279031083
sos,0.00020792182139515541
soz,0.00020792182139515541
janx,0.00020792182139515541
support,0.0019752573032539764
constantly,0.0006237654641854663
halla,0.00020792182139515541
greatness,0.00020792182139515541
jane,0.00041584364279031083
happy,0.01684166753300759
offer,0.002495061856741865
6wu,0.00010396091069757771
paypal,0.00020792182139515541
notifications,0.00010396091069757771
onluy,0.00020792182139515541
fiting,0.00020792182139515541
congratulations,0.00020792182139515541
inside,0.0015594136604636657
pest,0.00020792182139515541
lays,0.00031188273209273315
smashed,0.00020792182139515541
151,0.00010396091069757771
153,0.00020792182139515541
half8th,0.00020792182139515541
textbook,0.00020792182139515541
exist,0.00020792182139515541
accounting,0.00020792182139515541
ericsson,0.00041584364279031083
dealer,0.00041584364279031083
norm150p,0.00020792182139515541
floor,0.0006237654641854663
actor,0.00041584364279031083
uttered,0.00020792182139515541
flood,0.00010396091069757771
role,0.0012475309283709326
ambitious,0.00020792182139515541
smell,0.00020792182139515541
truffles,0.00041584364279031083
intend,0.00020792182139515541
fathima,0.0006237654641854663
07742676969,0.00010396091069757771
outage,0.00020792182139515541
hollalater,0.00020792182139515541
jewelry,0.00020792182139515541
nxt,0.0014554527497660878
loveme,0.00041584364279031083
preponed,0.00020792182139515541
bakra,0.00020792182139515541
marrge,0.00020792182139515541
mummy,0.0006237654641854663
time,0.03950514606507953
push,0.00041584364279031083
timi,0.00020792182139515541
6230,0.00010396091069757771
sday,0.00020792182139515541
chain,0.0006237654641854663
whoever,0.00020792182139515541
saibaba,0.00020792182139515541
cudnt,0.00020792182139515541
per,0.0041584364279031085
oso,0.004782201892088575
baller,0.00020792182139515541
overdid,0.00020792182139515541
pen,0.00041584364279031083
macha,0.00020792182139515541
followin,0.00020792182139515541
macho,0.0006237654641854663
machi,0.00020792182139515541
prepaid,0.00031188273209273315
doke,0.00020792182139515541
minuts,0.0007277263748830439
evng,0.0010396091069757771
maretare,0.00020792182139515541
choice,0.00041584364279031083
onwords,0.00020792182139515541
pleassssssseeeeee,0.00020792182139515541
stays,0.00041584364279031083
exact,0.0008316872855806217
minute,0.0022871400353467095
tear,0.0012475309283709326
leave,0.010707973801850504
pretsovru,0.00020792182139515541
settle,0.0006237654641854663
team,0.0007277263748830439
loads,0.0023911009460442873
